line_id,user_id,plan_id,due_date_id,phone,status,start_date,end_date,created_at,updated_at
1,1,2,2,/GfWm6Kip1iU6KbcKLvcW+fgvPhn9cgZ0TR6zGfw08XaPpCxrVFqECQ=,ACTIVE,2025-05-12 00:00:00,,2025-05-12 00:00:00,2026-01-25 22:24:20
2,2,3,4,NcbvbFVLJGU8+qi5qrcLeOJ537SUu8V+CAbNAsNT9xCaFYqqNNVg3uM=,ACTIVE,2025-02-11 00:00:00,,2025-02-11 00:00:00,2026-01-25 22:24:20
3,3,3,2,HHCdT/9ocg5QwwYRofHeB8nQBl0Ysri6lWSI1eawLG1brTz1pVnRe6c=,ACTIVE,2025-03-23 00:00:00,,2025-03-23 00:00:00,2026-01-25 22:24:20
4,4,1,3,AtRW2O+uTXnGkOOgZ2SgqKcHOMsUWV+zJPdoiSZQkfTtbJ+cuvp6Otc=,ACTIVE,2025-09-27 00:00:00,,2025-09-27 00:00:00,2026-01-25 22:24:20
5,5,1,4,cU0JfEqpCPZfSbMFgXNNwH+mteFCiYKDVYNu4B0YVPgdCBDM+FFGc0o=,ACTIVE,2025-08-18 00:00:00,,2025-08-18 00:00:00,2026-01-25 22:24:20
6,6,1,2,3T+aCiHUbcAJZSkGLQoXdi6iFKfhmY4IQI7EDeYhdalNvC72cTkOr+g=,ACTIVE,2025-06-30 00:00:00,,2025-06-30 00:00:00,2026-01-25 22:24:20
7,7,2,4,AnR88srWf7GpWaqFZ3X1KuQwpRcj9IU4APP8lbogUnsOe1HjUeJg618=,ACTIVE,2025-06-19 00:00:00,,2025-06-19 00:00:00,2026-01-25 22:24:20
8,7,2,4,yBd/EEvjvOCO0aqzjtr15UuXhNsufjUf5ZqsrTeb+Cq3p8uFdxjNXHY=,ACTIVE,2025-06-18 00:00:00,,2025-06-18 00:00:00,2026-01-25 22:24:20
9,8,2,1,7KE3xf0QYMgJJweqA5Aq+hf506fovXMGI/64E0MRMrvlZtatML2tR20=,ACTIVE,2025-02-15 00:00:00,,2025-02-15 00:00:00,2026-01-25 22:24:20
10,9,3,3,rtHX26UjqDWdy2/z5XKs+PE3rvUwTqyS7xhmkebsHwsHL+gDqylFzfU=,ACTIVE,2025-06-10 00:00:00,,2025-06-10 00:00:00,2026-01-25 22:24:20
11,10,2,4,VqgrgBVvlVOvoqeQuN5GuClyw+VGdjx8J4Ocs+tCBKZFiZ1Dlll5T/k=,ACTIVE,2025-07-25 00:00:00,,2025-07-25 00:00:00,2026-01-25 22:24:20
12,10,3,2,4MlU8cC/wTS5bqCS+pxk/7F8fRLgBa346x54bpewxgVKIbY+CfdtMdU=,ACTIVE,2025-07-26 00:00:00,,2025-07-26 00:00:00,2026-01-25 22:24:20
13,11,1,4,08oSWp1BF/HNf0zvxJRFxazxNuktomiIeTYYn1PX/73O74YKcKVRyO0=,ACTIVE,2025-03-29 00:00:00,,2025-03-29 00:00:00,2026-01-25 22:24:20
14,12,3,4,T/nBUmtKLPHgfMWRfbUUuOnWaAzGR4nufF6LgQQ2krzx3wlfcCTs4Q4=,ACTIVE,2025-05-28 00:00:00,,2025-05-28 00:00:00,2026-01-25 22:24:20
15,13,3,2,F11Koygim9wW7Asl2uM9qTfdpKaUtGuxew5ibOzFkkR5hewNBviA6aw=,ACTIVE,2025-02-21 00:00:00,,2025-02-21 00:00:00,2026-01-25 22:24:20
16,13,1,3,dOYKOuIlyG/9rYVa+EX0U1TkyUKRVTwDKhs4LoyS0WlGLC4VSO8TMo8=,ACTIVE,2025-02-24 00:00:00,,2025-02-24 00:00:00,2026-01-25 22:24:20
17,14,3,3,OX5ukPAO/lUyMotEg4qeufHqFg1/TiF9V7JGzOM0lZThKt/4x2YCNoA=,ACTIVE,2025-06-25 00:00:00,,2025-06-25 00:00:00,2026-01-25 22:24:20
18,15,2,2,yoaGBc8sFwX7RTlZeysNpYcYSegenpHnipVzX0ycJKLxaLiNpT5iHjM=,ACTIVE,2025-04-02 00:00:00,,2025-04-02 00:00:00,2026-01-25 22:24:20
19,16,1,2,yfSLpjz+9UJh+a5JXMYGvRL059ujsXlTSq7PTVkWBPjvAMT2IAdXK30=,ACTIVE,2025-07-27 00:00:00,,2025-07-27 00:00:00,2026-01-25 22:24:20
20,16,1,1,zuUosQqYsO9v4JSemwdtqt2Peo24emCMRusgxVGjPBCGgaCTr5zuVM0=,ACTIVE,2025-07-25 00:00:00,,2025-07-25 00:00:00,2026-01-25 22:24:20
21,17,2,2,QM+ao6lGqSM2yD4AJ0YxWKinO21cBYciWYV66tb/b84W4e+S8aqj3RQ=,ACTIVE,2025-03-27 00:00:00,,2025-03-27 00:00:00,2026-01-25 22:24:20
22,17,3,4,8wnWnv83p5FFam+A5/EYkFPcO99Ipr7cRZbDd3avM9Hk/i6u6JbSx+o=,ACTIVE,2025-03-31 00:00:00,,2025-03-31 00:00:00,2026-01-25 22:24:20
23,18,1,4,EDcRj7ublCuFRxLQOpf/yVr7qlnnbnpZT3uqWLP1Q0NqKS20zWA82J0=,ACTIVE,2025-02-12 00:00:00,,2025-02-12 00:00:00,2026-01-25 22:24:20
24,19,3,1,QOawLdG+1t4J+yGLdxU8DybX8cvCbgsQa29AndnWJvAyBow6aZCO7Kc=,ACTIVE,2025-01-05 00:00:00,,2025-01-05 00:00:00,2026-01-25 22:24:20
25,19,3,2,1ebQ/HulM1yo4TgH2uLpnhB6zc3oUWXXmUTfbarQyQHk/mdRPYrgj1w=,ACTIVE,2025-01-08 00:00:00,,2025-01-08 00:00:00,2026-01-25 22:24:20
26,20,3,2,mRyxxvkcCbeU64SZYa19XLUuATVFmfmDwIn1XlmCvuy22XZ5CBalE7Q=,ACTIVE,2025-10-07 00:00:00,,2025-10-07 00:00:00,2026-01-25 22:24:20
27,21,2,2,WpsWQDwZ7fCjU+P8eU8YhZtrj9gmvKWAYeQKPfuRDgLNc52V2C1zlxg=,ACTIVE,2025-10-01 00:00:00,,2025-10-01 00:00:00,2026-01-25 22:24:20
28,21,2,3,ZFvgYDT2hl5Gu4HPUV21wx4vUAp1+D0LU+SLBEy2ft5sCLcpcNYMu6s=,ACTIVE,2025-10-01 00:00:00,,2025-10-01 00:00:00,2026-01-25 22:24:20
29,22,1,1,rKXDUn6W2VY+3K6Ww45Bd6jCeOVUbjK+0NEQb6sSPpOsLT4uqTIRENA=,ACTIVE,2025-04-30 00:00:00,,2025-04-30 00:00:00,2026-01-25 22:24:20
