line_id,discount_id,created_at,updated_at
2,2,2026-01-25 22:24:20,2026-01-25 22:24:20
3,1,2026-01-25 22:24:20,2026-01-25 22:24:20
14,2,2026-01-25 22:24:20,2026-01-25 22:24:20
24,2,2026-01-25 22:24:20,2026-01-25 22:24:20
37,2,2026-01-25 22:24:20,2026-01-25 22:24:20
41,1,2026-01-25 22:24:20,2026-01-25 22:24:20
44,1,2026-01-25 22:24:20,2026-01-25 22:24:20
46,2,2026-01-25 22:24:20,2026-01-25 22:24:20
47,3,2026-01-25 22:24:20,2026-01-25 22:24:20
49,3,2026-01-25 22:24:20,2026-01-25 22:24:20
51,1,2026-01-25 22:24:20,2026-01-25 22:24:20
54,1,2026-01-25 22:24:20,2026-01-25 22:24:20
58,1,2026-01-25 22:24:20,2026-01-25 22:24:20
87,2,2026-01-25 22:24:20,2026-01-25 22:24:20
101,3,2026-01-25 22:24:20,2026-01-25 22:24:20
106,3,2026-01-25 22:24:20,2026-01-25 22:24:20
110,1,2026-01-25 22:24:20,2026-01-25 22:24:20
