line_id,pay_month,pay_price
1,2025-12,31447
4,2025-12,1460
5,2025-12,9867
6,2025-12,29022
7,2025-12,31226
9,2025-12,21100
10,2025-12,32947
12,2025-12,8296
13,2025-12,46121
14,2025-12,9290
17,2025-12,29735
20,2025-12,10464
21,2025-12,31077
23,2025-12,5031
25,2025-12,9917
32,2025-12,8211
33,2025-12,26547
37,2025-12,42524
39,2025-12,22796
41,2025-12,47043
43,2025-12,1107
44,2025-12,41310
46,2025-12,32838
50,2025-12,9901
51,2025-12,29455
69,2025-12,12692
70,2025-12,45283
75,2025-12,35437
78,2025-12,17279
80,2025-12,7579
85,2025-12,32480
86,2025-12,18613
90,2025-12,12449
97,2025-12,30427
98,2025-12,7015
100,2025-12,34946
101,2025-12,46474
103,2025-12,12328
106,2025-12,24691
110,2025-12,43006
114,2025-12,49478
115,2025-12,19736
116,2025-12,2395
122,2025-12,11471
