usage_log_id,line_id,item_type,used_amount,log_month,created_at,updated_at
1,1,VOICE,457,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
2,1,VIDEO,1033,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
3,2,VOICE,1317,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
4,2,VIDEO,1564,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
5,3,VOICE,1991,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
6,3,VIDEO,607,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
7,4,VOICE,105,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
8,4,VIDEO,1600,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
9,5,VOICE,257,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
10,5,VIDEO,1366,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
11,6,VOICE,809,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
12,6,VIDEO,282,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
13,7,VOICE,1112,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
14,7,VIDEO,1845,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
15,8,VOICE,242,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
16,8,VIDEO,890,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
17,9,VOICE,1424,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
18,9,VIDEO,1005,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
19,10,VOICE,148,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
20,10,VIDEO,575,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
21,11,VOICE,944,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
22,11,VIDEO,760,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
23,12,VOICE,835,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
24,12,VIDEO,1984,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
25,13,VOICE,689,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
26,13,VIDEO,588,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
27,14,VOICE,549,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
28,14,VIDEO,1104,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
29,15,VOICE,902,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
30,15,VIDEO,456,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
31,16,VOICE,1595,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
32,16,VIDEO,1368,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
33,17,VOICE,1814,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
34,17,VIDEO,446,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
35,18,VOICE,1099,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
36,18,VIDEO,1768,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
37,19,VOICE,1384,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
38,19,VIDEO,147,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
39,20,VOICE,1579,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
40,20,VIDEO,1274,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
41,21,VOICE,1506,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
42,21,VIDEO,839,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
43,22,VOICE,1525,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
44,22,VIDEO,850,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
45,23,VOICE,1328,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
46,23,VIDEO,1964,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
47,24,VOICE,1560,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
48,24,VIDEO,752,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
49,25,VOICE,173,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
50,25,VIDEO,1158,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
51,26,VOICE,1494,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
52,26,VIDEO,976,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
53,27,VOICE,1893,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
54,27,VIDEO,1799,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
55,28,VOICE,577,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
56,28,VIDEO,1363,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
57,29,VOICE,741,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
58,29,VIDEO,416,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
59,30,VOICE,1038,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
60,30,VIDEO,1940,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
61,31,VOICE,747,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
62,31,VIDEO,999,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
63,32,VOICE,1446,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
64,32,VIDEO,1715,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
65,33,VOICE,324,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
66,33,VIDEO,1497,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
67,34,VOICE,1746,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
68,34,VIDEO,916,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
69,35,VOICE,1370,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
70,35,VIDEO,1696,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
71,36,VOICE,1301,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
72,36,VIDEO,1002,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
73,37,VOICE,594,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
74,37,VIDEO,995,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
75,38,VOICE,1474,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
76,38,VIDEO,332,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
77,39,VOICE,1628,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
78,39,VIDEO,1576,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
79,40,VOICE,1714,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
80,40,VIDEO,211,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
81,41,VOICE,1801,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
82,41,VIDEO,1399,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
83,42,VOICE,1602,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
84,42,VIDEO,1458,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
85,43,VOICE,1210,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
86,43,VIDEO,925,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
87,44,VOICE,1980,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
88,44,VIDEO,1599,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
89,45,VOICE,585,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
90,45,VIDEO,577,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
91,46,VOICE,540,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
92,46,VIDEO,120,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
93,47,VOICE,664,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
94,47,VIDEO,1948,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
95,48,VOICE,1550,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
96,48,VIDEO,576,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
97,49,VOICE,1848,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
98,49,VIDEO,147,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
99,50,VOICE,816,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
100,50,VIDEO,102,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
101,51,VOICE,122,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
102,51,VIDEO,1948,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
103,52,VOICE,829,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
104,52,VIDEO,1269,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
105,53,VOICE,997,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
106,53,VIDEO,875,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
107,54,VOICE,1691,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
108,54,VIDEO,985,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
109,55,VOICE,1236,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
110,55,VIDEO,916,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
111,56,VOICE,529,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
112,56,VIDEO,384,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
113,57,VOICE,380,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
114,57,VIDEO,930,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
115,58,VOICE,1128,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
116,58,VIDEO,1152,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
117,59,VOICE,210,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
118,59,VIDEO,343,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
119,60,VOICE,682,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
120,60,VIDEO,850,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
121,61,VOICE,176,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
122,61,VIDEO,177,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
123,62,VOICE,565,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
124,62,VIDEO,1598,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
125,63,VOICE,1510,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
126,63,VIDEO,580,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
127,64,VOICE,578,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
128,64,VIDEO,623,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
129,65,VOICE,403,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
130,65,VIDEO,1428,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
131,66,VOICE,1987,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
132,66,VIDEO,1209,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
133,67,VOICE,1073,2025-12,2026-01-25 22:24:20,2026-01-25 22:24:20
